-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2012 through 12/31/2022 
Location: Latitude  45.509   Longitude -73.5526 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 37.97 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,TS,T2M_MAX,RH2M,PRECTOTCORR,PS,WS10M
2012,3,14,2.76,3.41,5.18,95.38,3.02,101.57,2.88
2012,3,15,1.11,1.71,2.94,96.12,9.45,102.08,3.84
2012,3,16,3.65,2.81,6.12,95.44,13.68,101.46,2.72
2012,3,17,4.23,3.77,10.24,88.56,4.14,102.05,2.04
2012,3,18,10.3,8.91,19.38,91.44,6.04,101.54,4.09
2012,3,19,10.66,9.69,16.98,88.94,0.24,101.63,3.1
2012,3,20,14.04,11.98,21.12,86.56,0.51,101.84,1.78
2012,3,21,15.69,14.43,22.78,85.38,0.01,101.8,3.52
2012,3,22,14.69,14.26,21.41,88.19,0.37,101.47,4.28
2012,3,23,9.35,9.48,14.26,74.62,0.0,101.75,4.16
2012,3,24,3.31,4.71,5.46,74.81,1.75,101.64,4.1
2012,3,25,6.7,6.99,9.77,91.88,7.2,100.5,3.99
2012,3,26,-2.27,-0.72,2.14,66.88,0.31,101.24,8.47
2012,3,27,-1.81,0.46,3.36,65.12,0.79,101.97,3.77
2012,3,28,1.71,2.17,7.44,91.06,3.93,100.04,4.16
2012,3,29,1.41,1.97,5.12,82.88,0.97,100.65,5.1
2012,3,30,-0.12,1.16,3.57,70.38,0.17,101.38,3.8
2012,3,31,1.89,2.42,5.95,72.31,0.26,101.13,2.53
2012,4,1,2.26,2.6,6.34,79.56,1.85,100.39,1.47
2012,4,2,1.8,2.46,7.03,75.56,0.6,100.57,5.05
2012,4,3,2.59,3.4,8.35,73.81,1.4,100.72,3.9
2012,4,4,4.11,4.16,8.3,77.88,0.12,99.93,5.8
2012,4,5,1.82,2.53,5.76,77.38,0.02,100.71,5.3
2012,4,6,2.08,3.14,8.03,74.75,0.0,101.19,5.14
2012,4,7,3.58,4.44,8.9,79.38,0.03,101.37,3.73
2012,4,8,5.26,5.37,10.71,81.06,0.04,100.31,4.05
2012,4,9,5.88,6.12,9.06,87.25,2.2,99.14,5.2
2012,4,10,5.3,5.62,7.42,88.94,1.76,99.67,4.95
2012,4,11,5.44,6.11,9.96,84.5,1.15,100.73,3.17
2012,4,12,6.67,7.0,11.72,74.88,0.06,101.34,2.91
2012,4,13,7.5,7.79,14.31,74.75,0.0,101.44,3.69
2012,4,14,8.4,8.23,13.98,77.88,0.01,101.15,4.29
2012,4,15,13.09,12.94,18.23,85.75,0.05,100.66,4.73
2012,4,16,18.77,17.73,25.14,85.06,2.04,100.32,5.31
2012,4,17,9.76,10.4,17.32,69.0,0.01,101.47,8.33
2012,4,18,4.98,7.59,10.09,71.62,0.03,102.02,2.41
2012,4,19,10.89,11.28,18.91,78.25,0.07,100.98,3.48
2012,4,20,7.58,8.92,10.03,85.81,1.06,100.81,5.34
2012,4,21,5.13,6.53,7.34,92.31,13.48,100.53,4.89
2012,4,22,4.48,5.81,7.36,82.38,3.58,101.1,6.34
2012,4,23,2.58,3.06,6.0,95.5,28.44,99.22,9.34
2012,4,24,5.69,5.67,8.69,84.5,2.37,98.97,4.75
2012,4,25,5.58,6.2,9.32,82.38,1.31,100.21,4.45
2012,4,26,5.49,6.0,10.68,82.88,4.33,100.25,3.62
2012,4,27,2.82,3.99,5.88,75.75,1.12,100.59,7.53
2012,4,28,1.61,3.03,7.72,66.44,0.02,101.56,5.75
2012,4,29,2.69,3.91,8.48,69.94,0.1,101.69,5.48
2012,4,30,5.9,6.83,11.93,71.38,0.1,101.95,2.4
2012,5,1,8.99,9.5,12.62,88.81,5.08,101.21,3.01
2012,5,2,10.23,10.44,14.06,90.56,1.23,101.43,3.51
2012,5,3,12.68,12.92,16.33,89.94,2.99,101.19,3.09
2012,5,4,13.67,14.11,19.44,88.62,3.16,100.71,3.38
2012,5,5,8.89,9.87,14.75,70.0,0.1,101.54,3.2
2012,5,6,10.19,11.06,16.12,69.25,0.0,101.65,3.55
2012,5,7,13.02,12.75,19.09,65.19,0.0,101.34,2.68
2012,5,8,12.35,12.56,14.32,92.38,11.97,100.41,3.18
2012,5,9,14.26,14.41,17.68,88.06,1.97,99.93,3.25
2012,5,10,10.46,11.25,13.08,83.19,1.58,99.59,5.84
2012,5,11,11.09,11.72,16.64,71.81,0.58,100.67,5.73
2012,5,12,14.05,14.52,22.06,77.38,0.01,101.32,4.09
2012,5,13,15.55,15.41,19.8,73.56,3.83,101.54,2.95
2012,5,14,16.54,17.01,21.93,80.25,0.02,101.35,2.45
2012,5,15,17.42,17.94,21.83,87.69,1.4,100.99,3.51
2012,5,16,17.2,17.72,23.39,81.44,3.13,100.45,4.76
2012,5,17,10.94,12.34,15.62,69.94,0.16,101.42,4.84
2012,5,18,13.9,14.23,19.65,68.81,0.25,101.71,3.25
2012,5,19,18.03,17.83,24.12,65.38,1.28,101.62,2.27
2012,5,20,21.25,20.95,29.21,69.75,0.59,101.72,2.65
2012,5,21,21.3,21.49,27.18,75.19,0.39,101.38,4.06
2012,5,22,18.07,18.87,22.11,90.06,19.07,100.77,2.98
2012,5,23,17.18,18.68,21.99,77.44,1.32,101.06,2.88
2012,5,24,20.91,21.46,27.41,80.62,0.51,101.31,2.92
2012,5,25,22.66,22.79,27.13,81.19,3.9,101.05,5.79
2012,5,26,19.3,20.19,23.55,76.81,0.02,101.46,3.71
2012,5,27,16.42,17.97,20.19,71.44,0.1,101.64,2.09
2012,5,28,15.62,17.22,19.48,83.25,1.67,101.0,4.66
2012,5,29,20.3,21.05,26.85,91.44,31.67,99.9,2.57
2012,5,30,19.23,19.84,22.7,72.75,1.6,100.02,5.18
2012,5,31,15.14,16.52,18.83,73.25,1.24,100.74,3.88
2012,6,1,14.07,14.87,18.51,72.44,0.79,101.17,4.24
2012,6,2,13.26,13.9,14.71,88.31,18.38,100.41,5.16
2012,6,3,14.3,15.33,18.78,83.19,3.07,100.2,5.23
2012,6,4,12.72,13.37,15.19,84.69,1.6,100.62,5.61
2012,6,5,16.04,16.51,21.53,71.69,0.5,100.88,3.25
2012,6,6,15.93,16.47,20.12,75.31,0.47,101.0,2.25
2012,6,7,17.63,18.17,22.26,72.25,2.4,100.89,1.6
2012,6,8,16.82,17.31,20.7,84.31,3.42,100.41,4.45
2012,6,9,17.41,17.46,22.57,63.81,0.3,100.68,2.29
2012,6,10,20.08,19.9,25.53,62.81,0.32,101.31,1.91
2012,6,11,23.06,23.61,28.86,81.06,0.61,101.31,2.84
2012,6,12,21.05,21.49,25.26,85.38,8.83,100.69,4.24
2012,6,13,18.75,19.89,22.28,76.06,1.8,101.08,5.06
2012,6,14,16.62,17.9,21.94,71.31,0.38,102.12,3.37
2012,6,15,17.73,18.51,23.05,72.19,0.4,102.19,3.66
2012,6,16,19.48,20.37,25.69,77.94,0.65,101.9,2.35
2012,6,17,21.93,22.46,26.55,80.12,1.28,101.22,3.66
2012,6,18,21.3,22.08,25.65,77.44,0.14,101.05,4.17
2012,6,19,22.3,22.8,27.23,85.56,0.05,100.94,3.52
2012,6,20,25.96,26.19,29.99,82.88,0.11,100.78,4.12
2012,6,21,26.35,26.42,31.03,78.44,0.3,100.31,4.59
2012,6,22,23.58,24.22,27.22,76.81,0.59,100.32,4.47
2012,6,23,20.39,21.26,24.15,73.12,1.8,100.82,3.48
2012,6,24,20.58,21.52,26.38,71.56,0.38,100.79,2.56
2012,6,25,17.15,18.81,21.12,78.5,6.16,100.18,4.24
2012,6,26,15.83,17.11,18.28,80.94,5.14,100.0,5.58
2012,6,27,17.66,18.1,21.05,83.06,5.36,99.91,5.82
2012,6,28,21.03,21.48,26.15,75.19,0.99,100.05,3.3
2012,6,29,23.53,23.5,28.5,76.19,2.32,99.54,5.59
2012,6,30,23.37,23.59,28.79,71.25,2.18,99.77,5.43
2012,7,1,21.33,22.28,25.8,73.25,0.21,100.44,3.31
2012,7,2,21.14,22.03,26.36,72.0,1.47,100.72,3.61
2012,7,3,21.88,23.15,27.87,68.69,2.63,100.65,2.12
2012,7,4,23.69,24.5,28.99,78.88,6.23,100.09,4.61
2012,7,5,22.15,23.28,27.55,70.62,0.83,100.56,1.95
2012,7,6,24.45,24.74,29.26,73.06,0.01,100.52,3.63
2012,7,7,24.16,24.75,29.29,69.12,0.4,100.37,4.39
2012,7,8,20.51,21.9,24.9,60.25,0.01,100.74,4.71
2012,7,9,19.03,20.55,24.35,60.12,0.0,100.99,3.94
2012,7,10,20.72,21.69,26.88,61.19,0.25,101.17,4.22
2012,7,11,21.98,22.66,28.39,53.5,0.0,101.56,2.18
2012,7,12,24.17,24.67,30.54,56.12,0.12,101.43,4.21
2012,7,13,25.69,26.08,31.73,55.38,0.21,101.4,3.09
2012,7,14,27.49,28.21,34.11,58.88,0.09,101.27,2.78
2012,7,15,25.55,26.03,31.07,72.19,3.72,100.96,2.98
2012,7,16,25.79,26.74,30.64,69.81,3.18,100.42,1.88
2012,7,17,25.26,25.8,31.08,79.56,20.4,99.83,4.03
2012,7,18,21.6,23.12,26.17,66.69,0.48,100.66,4.34
2012,7,19,18.4,20.66,24.02,63.0,0.18,101.21,3.05
2012,7,20,19.42,21.3,25.45,63.06,0.32,101.42,2.6
2012,7,21,22.94,23.82,28.53,51.94,0.23,101.23,1.84
2012,7,22,25.41,26.27,30.95,61.5,0.26,101.06,3.99
2012,7,23,25.43,26.11,31.37,75.88,20.0,100.42,3.98
2012,7,24,22.51,23.7,26.35,70.88,1.88,99.97,5.3
2012,7,25,20.51,22.02,26.01,64.25,0.04,100.53,3.38
2012,7,26,20.78,22.12,24.1,74.94,0.3,99.94,2.11
2012,7,27,22.19,23.71,27.96,66.5,0.36,100.5,2.96
2012,7,28,21.02,21.9,26.0,67.5,0.18,101.16,3.91
2012,7,29,22.55,23.93,29.26,62.06,0.11,101.16,2.84
2012,7,30,24.44,25.35,31.07,60.38,0.1,101.08,2.77
2012,7,31,25.64,26.54,31.69,64.88,1.36,100.75,3.94
2012,8,1,24.28,25.23,28.89,71.12,0.94,100.46,2.02
2012,8,2,26.23,27.17,31.8,62.0,0.11,100.44,3.52
2012,8,3,25.12,26.53,30.21,64.62,0.38,100.93,4.39
2012,8,4,25.94,27.19,33.76,69.75,3.54,101.47,3.2
2012,8,5,26.9,27.08,32.72,75.88,14.14,100.54,7.02
2012,8,6,21.69,22.79,26.12,60.31,0.49,100.92,4.45
2012,8,7,23.23,24.42,29.52,58.69,0.58,100.84,3.96
2012,8,8,24.31,25.86,29.76,62.19,0.65,100.91,1.53
2012,8,9,20.91,22.29,24.44,79.38,1.63,100.88,5.01
2012,8,10,20.12,20.9,22.97,91.5,11.69,100.61,3.04
2012,8,11,21.69,22.08,26.22,89.81,20.4,100.53,4.1
2012,8,12,22.77,23.45,27.53,78.19,2.46,100.61,3.26
2012,8,13,22.49,23.37,26.99,74.44,0.28,100.75,3.59
2012,8,14,22.91,23.51,26.64,72.19,1.11,100.73,1.88
2012,8,15,22.79,23.76,27.14,73.94,3.38,100.61,2.66
2012,8,16,22.62,23.79,27.98,65.69,2.58,100.62,2.38
2012,8,17,22.44,22.86,28.29,71.19,0.47,100.18,4.65
2012,8,18,18.58,19.69,23.6,59.38,0.01,100.72,4.02
2012,8,19,19.49,19.99,24.74,59.62,0.0,100.86,2.57
2012,8,20,19.95,21.04,26.14,62.56,0.06,100.67,3.2
2012,8,21,19.49,20.21,24.55,57.62,0.71,101.07,2.95
2012,8,22,21.24,22.01,26.73,60.38,0.29,101.3,4.06
2012,8,23,21.89,22.39,27.86,66.19,0.33,101.31,4.52
2012,8,24,21.73,23.12,28.11,65.38,0.14,101.7,3.0
2012,8,25,24.56,25.5,32.2,65.12,0.04,101.77,2.19
2012,8,26,25.4,26.05,31.73,64.69,1.12,101.74,3.2
2012,8,27,24.33,24.92,29.44,68.12,0.89,100.97,4.59
2012,8,28,20.69,22.0,25.44,66.38,0.38,100.59,4.69
2012,8,29,18.33,19.53,25.61,54.88,0.12,100.91,4.71
2012,8,30,21.48,22.05,28.92,59.56,0.09,100.64,7.22
2012,8,31,23.24,23.23,28.93,67.31,3.06,100.39,6.01
2012,9,1,19.82,21.12,25.37,62.06,0.11,101.36,3.39
2012,9,2,19.41,20.57,25.52,63.44,0.76,101.45,2.5
2012,9,3,21.15,22.01,28.26,62.69,0.62,101.38,3.11
2012,9,4,21.32,21.83,25.73,81.62,19.06,100.84,2.93
2012,9,5,22.15,22.83,27.23,78.06,7.33,100.42,3.2
2012,9,6,22.48,22.87,28.08,76.38,0.9,100.44,2.66
2012,9,7,20.88,21.42,26.23,61.69,0.15,100.61,3.12
2012,9,8,20.18,20.12,26.12,80.5,10.14,99.54,7.41
2012,9,9,14.25,15.73,19.55,69.75,1.1,100.6,4.24
2012,9,10,12.68,14.1,17.56,71.06,0.12,101.24,3.97
2012,9,11,14.77,15.48,21.99,63.56,0.02,101.73,3.4
2012,9,12,19.04,19.23,26.85,66.56,0.1,101.81,4.15
2012,9,13,20.51,20.69,27.88,68.69,0.15,101.78,3.48
2012,9,14,20.96,21.17,28.11,74.56,8.2,101.29,3.92
2012,9,15,13.89,15.13,18.73,71.06,1.24,101.3,4.84
2012,9,16,11.44,12.78,17.71,60.12,0.02,101.29,3.8
2012,9,17,17.14,17.66,25.35,66.94,0.04,100.96,2.93
2012,9,18,17.3,17.08,20.62,90.12,21.34,99.86,7.02
2012,9,19,10.99,11.61,14.68,64.56,0.89,101.16,5.52
2012,9,20,12.62,13.15,19.83,65.0,0.14,101.56,4.55
2012,9,21,16.08,16.21,22.19,80.19,7.05,100.98,3.59
2012,9,22,16.08,16.22,22.68,84.88,5.5,100.32,5.42
2012,9,23,11.92,12.54,15.98,73.19,0.34,100.88,5.22
2012,9,24,10.96,11.44,16.35,70.75,0.3,101.19,3.78
2012,9,25,14.73,14.82,20.94,64.62,0.02,100.87,5.38
2012,9,26,15.24,15.4,21.55,77.94,2.73,100.89,4.45
2012,9,27,10.65,11.44,16.47,66.81,0.61,101.85,2.58
2012,9,28,10.96,12.02,18.13,75.94,1.17,101.56,2.89
2012,9,29,11.18,11.72,13.62,89.88,0.95,101.15,3.8
2012,9,30,10.61,10.96,11.84,94.88,16.65,100.43,3.8
2012,10,1,12.76,12.7,16.2,89.06,5.12,99.98,4.53
2012,10,2,13.76,13.07,19.24,85.5,2.15,100.98,2.03
2012,10,3,14.99,14.88,18.89,89.75,0.52,101.39,3.12
2012,10,4,15.48,15.21,19.1,92.5,1.65,101.26,2.29
2012,10,5,16.1,15.67,20.62,84.19,1.02,100.66,4.29
2012,10,6,11.65,12.06,14.53,82.38,14.27,100.33,4.49
2012,10,7,7.76,8.83,10.77,69.69,0.46,101.17,3.28
2012,10,8,7.76,8.06,12.25,59.81,0.08,101.8,2.42
2012,10,9,8.62,9.08,15.73,78.69,0.12,101.7,3.69
2012,10,10,10.18,10.06,14.07,87.31,2.18,100.46,5.83
2012,10,11,7.54,8.12,10.65,68.5,1.49,100.88,6.67
2012,10,12,5.12,5.95,8.69,65.12,0.34,101.66,5.88
2012,10,13,5.19,5.92,9.9,67.19,1.59,102.19,3.48
2012,10,14,7.2,7.4,13.13,94.19,12.98,100.83,3.38
2012,10,15,13.1,12.36,18.21,84.06,1.61,99.62,5.64
2012,10,16,6.51,6.94,10.42,71.19,0.11,100.23,5.98
2012,10,17,6.98,7.35,12.94,75.06,0.0,100.9,2.25
2012,10,18,11.02,10.69,17.98,74.19,0.01,100.92,3.77
2012,10,19,11.62,11.12,15.4,93.25,26.5,100.56,4.81
2012,10,20,12.28,11.82,17.68,89.81,7.31,99.87,3.68
2012,10,21,9.38,9.24,12.82,83.31,0.47,100.31,6.44
2012,10,22,8.38,8.41,13.44,83.75,0.02,100.96,5.39
2012,10,23,7.04,6.69,11.82,81.62,0.0,101.58,2.15
2012,10,24,5.41,5.69,11.03,77.81,0.01,101.83,3.3
2012,10,25,8.62,8.65,16.3,86.25,0.03,101.68,3.38
2012,10,26,13.43,12.44,20.08,90.62,0.01,101.39,2.13
2012,10,27,12.4,11.9,16.08,94.62,0.18,101.18,2.67
2012,10,28,10.65,10.45,11.9,94.0,0.18,101.13,3.13
2012,10,29,11.85,11.68,15.11,88.0,1.11,100.23,9.2
2012,10,30,15.47,14.66,19.92,86.19,7.2,99.46,7.62
2012,10,31,11.07,10.65,14.54,91.56,3.41,99.25,3.7
2012,11,1,7.06,7.25,10.59,88.69,1.21,99.26,3.27
2012,11,2,4.62,5.36,5.76,89.94,2.21,99.64,5.23
2012,11,3,4.59,5.13,8.2,80.81,0.6,100.4,5.4
2012,11,4,1.62,2.19,5.32,77.44,0.11,101.04,3.88
2012,11,5,-1.04,-0.36,2.83,75.81,0.01,101.44,3.73
2012,11,6,-1.25,-1.27,2.61,69.38,0.01,101.84,2.51
2012,11,7,-1.18,-0.74,2.3,74.06,0.04,101.83,4.76
2012,11,8,-0.09,-0.05,3.71,80.19,0.03,101.28,5.05
2012,11,9,0.61,0.61,6.36,88.38,0.0,101.23,3.88
2012,11,10,-0.24,-0.32,4.08,75.19,0.0,102.26,2.81
2012,11,11,3.24,2.56,7.94,89.12,1.16,102.14,2.89
2012,11,12,10.29,9.21,17.68,84.88,0.56,101.47,4.65
2012,11,13,3.98,3.55,13.07,75.06,4.24,102.06,5.98
2012,11,14,-0.4,-0.6,4.83,76.06,0.05,103.12,2.31
2012,11,15,-1.01,-1.53,2.05,78.06,0.02,102.7,1.83
2012,11,16,-0.01,-0.2,5.16,85.81,0.01,102.51,2.55
2012,11,17,-1.6,-1.59,1.85,71.31,0.0,103.34,1.77
2012,11,18,-0.78,-1.22,3.16,69.5,0.0,103.43,2.09
2012,11,19,0.58,-0.34,4.03,80.38,0.01,102.66,1.08
2012,11,20,0.93,0.01,4.1,79.5,0.02,101.87,1.87
2012,11,21,2.43,0.33,7.01,71.31,0.05,101.86,1.27
2012,11,22,2.29,1.13,8.47,86.19,0.0,101.5,2.93
2012,11,23,4.42,3.39,10.63,89.31,1.72,100.09,4.17
2012,11,24,0.4,0.09,3.14,74.38,0.3,99.68,7.48
2012,11,25,-3.11,-2.63,-1.1,66.88,0.12,100.24,7.21
2012,11,26,-3.31,-3.42,-0.49,67.62,0.3,101.26,3.44
2012,11,27,-4.64,-5.45,-0.26,80.38,0.04,102.06,1.62
2012,11,28,-3.46,-4.66,1.27,90.0,0.53,101.6,3.46
2012,11,29,-5.49,-6.1,-0.47,82.88,0.79,101.7,4.02
2012,11,30,-10.9,-11.49,-7.87,71.75,0.14,103.01,1.76
2012,12,1,-7.8,-7.81,-2.57,87.31,0.11,102.87,3.74
2012,12,2,2.6,1.58,4.58,95.5,9.49,101.15,4.52
2012,12,3,1.31,0.34,4.77,90.69,1.08,101.67,3.38
2012,12,4,4.62,3.58,11.41,97.31,6.99,100.93,4.46
2012,12,5,0.59,0.15,5.74,77.38,2.94,101.24,6.72
2012,12,6,-3.37,-2.56,-1.13,73.44,0.15,102.15,2.48
2012,12,7,-0.23,-0.96,3.74,85.69,0.05,101.22,2.57
2012,12,8,0.21,-0.31,1.37,97.38,3.33,100.79,2.64
2012,12,9,-3.55,-3.85,-0.42,80.19,0.49,101.96,4.23
2012,12,10,-0.5,-0.99,3.19,95.62,14.77,99.92,5.1
2012,12,11,-8.92,-10.29,-3.28,83.94,0.4,101.08,3.27
2012,12,12,-7.11,-10.08,-0.06,92.06,0.13,102.15,1.66
2012,12,13,-4.05,-5.14,0.43,93.0,0.14,102.31,2.27
2012,12,14,-1.5,-2.32,2.19,88.81,3.1,101.52,5.18
2012,12,15,-13.17,-13.81,-9.16,82.44,0.0,102.51,4.37
2012,12,16,-8.67,-8.61,-3.48,89.31,2.78,101.62,6.45
2012,12,17,-1.58,-1.88,0.6,93.25,10.54,100.78,5.46
2012,12,18,0.11,-0.24,0.64,96.62,19.75,99.79,5.2
2012,12,19,-0.27,-0.66,0.25,96.94,2.61,100.51,3.07
2012,12,20,-6.65,-7.88,-1.14,90.5,0.78,101.52,3.45
2012,12,21,-0.24,-0.82,1.08,95.69,21.11,98.78,7.03
2012,12,22,-4.85,-5.21,0.41,91.88,2.97,98.85,9.14
2012,12,23,-11.74,-12.55,-7.93,92.62,1.07,100.44,5.12
2012,12,24,-17.32,-20.11,-11.31,98.12,0.07,101.3,3.23
2012,12,25,-14.99,-16.52,-9.05,94.56,0.55,101.91,2.65
2012,12,26,-17.32,-19.71,-13.38,92.25,0.31,102.25,3.91
2012,12,27,-7.99,-8.31,-5.15,95.88,22.76,100.72,8.56
2012,12,28,-11.74,-12.78,-7.79,94.75,1.2,101.15,4.24
2012,12,29,-16.15,-18.36,-11.35,94.31,2.3,100.85,3.53
2012,12,30,-13.67,-14.34,-11.13,93.25,1.25,100.85,5.44
2012,12,31,-9.13,-9.76,-0.89,94.38,2.96,100.69,3.53
